"Questoes"	"c..0.5074627....0.4029851....0.6268657....0.7462687....0.2238806..."	"c..0.473416....0.3756139....0.5305133....0.6750982....0.3131139..."	"c..0.4984802....0.4255319....0.5866261....0.7659574....0.3130699..."	"c..0.4864865....0.4234234....0.5540541....0.7342342....0.2972973..."	"A"	"B"	"C"	"D"	"E"	"N"
1	"0.5074627"	"0.473416"	"0.4984802"	"0.4864865"	"0.5074627"	"0.1044776"	"0.04477612"	"0.2238806"	"0"	"0.119403"
2	"0.4029851"	"0.3756139"	"0.4255319"	"0.4234234"	"0.02985075"	"0.01492537"	"0.4029851"	"0.238806"	"0.1940299"	"0.119403"
3	"0.6268657"	"0.5305133"	"0.5866261"	"0.5540541"	"0.02985075"	"0.04477612"	"0.02985075"	"0.1492537"	"0.6268657"	"0.119403"
4	"0.7462687"	"0.6750982"	"0.7659574"	"0.7342342"	"0"	"0.7462687"	"0"	"0.01492537"	"0.119403"	"0.119403"
5	"0.2238806"	"0.3131139"	"0.3130699"	"0.2972973"	"0.119403"	"0.4626866"	"0.04477612"	"0.2238806"	"0.02985075"	"0.119403"
6	"0.5970149"	"0.4701007"	"0.5653495"	"0.527027"	"0.1791045"	"0.01492537"	"0.5970149"	"0.04477612"	"0.04477612"	"0.119403"
7	"0.641791"	"0.4518664"	"0.5440729"	"0.5720721"	"0.05970149"	"0.04477612"	"0.08955224"	"0.04477612"	"0.641791"	"0.119403"
8	"0.6865672"	"0.6479617"	"0.7446809"	"0.7252252"	"0.05970149"	"0.02985075"	"0.08955224"	"0.6865672"	"0.01492537"	"0.119403"
9	"0.7313433"	"0.5376965"	"0.6534954"	"0.6396396"	"0.7313433"	"0.04477612"	"0.1044776"	"0"	"0"	"0.119403"
10	"0.6119403"	"0.4446832"	"0.5987842"	"0.5630631"	"0.01492537"	"0.6119403"	"0.1044776"	"0.1044776"	"0.04477612"	"0.119403"
11	"0.5522388"	"0.3926203"	"0.4711246"	"0.5"	"0.08955224"	"0.119403"	"0.05970149"	"0.5522388"	"0.05970149"	"0.119403"
12	"0.3283582"	"0.2542976"	"0.2978723"	"0.2747748"	"0.3283582"	"0.08955224"	"0.2238806"	"0.1044776"	"0.119403"	"0.1343284"
13	"0.6268657"	"0.3934185"	"0.5592705"	"0.5765766"	"0.04477612"	"0.05970149"	"0.08955224"	"0.6268657"	"0.05970149"	"0.119403"
14	"0.4776119"	"0.2920555"	"0.4103343"	"0.3873874"	"0.04477612"	"0.4776119"	"0.04477612"	"0.2537313"	"0.05970149"	"0.119403"
15	"0.4328358"	"0.3813851"	"0.4255319"	"0.4279279"	"0.4328358"	"0.1791045"	"0.07462687"	"0.1343284"	"0.05970149"	"0.119403"
18	"0.1791045"	"0.1818517"	"0.2370821"	"0.2207207"	"0.1044776"	"0.3283582"	"0.119403"	"0.1492537"	"0.1791045"	"0.119403"
21	"0.2835821"	"0.1480231"	"0.2401216"	"0.2702703"	"0.1492537"	"0.2835821"	"0.05970149"	"0.04477612"	"0.3432836"	"0.119403"
22	"0.4179104"	"0.3190693"	"0.4194529"	"0.4504505"	"0.1492537"	"0.1343284"	"0.05970149"	"0.4179104"	"0.119403"	"0.119403"
24	"0.4477612"	"0.3796046"	"0.449848"	"0.454955"	"0.1343284"	"0.01492537"	"0.1044776"	"0.1791045"	"0.4477612"	"0.119403"
25	"0.5820896"	"0.449165"	"0.5197568"	"0.490991"	"0.07462687"	"0.01492537"	"0.5820896"	"0.1641791"	"0.04477612"	"0.119403"
26	"0.2985075"	"0.2772593"	"0.3617021"	"0.3513514"	"0.2835821"	"0.2985075"	"0.1791045"	"0.08955224"	"0.02985075"	"0.119403"
27	"0.4925373"	"0.4289661"	"0.5227964"	"0.490991"	"0.1044776"	"0.05970149"	"0.4925373"	"0.1492537"	"0.07462687"	"0.119403"
28	"0.4776119"	"0.4530943"	"0.5197568"	"0.509009"	"0.05970149"	"0.119403"	"0.4776119"	"0.1044776"	"0.1044776"	"0.1343284"
29	"0.8059701"	"0.6464268"	"0.7416413"	"0.7477477"	"0.8059701"	"0"	"0.01492537"	"0.02985075"	"0.02985075"	"0.119403"
30	"0.2985075"	"0.3542485"	"0.3829787"	"0.3738739"	"0.2985075"	"0.05970149"	"0.2985075"	"0.08955224"	"0.1343284"	"0.119403"
32	"0.4179104"	"0.4189587"	"0.4741641"	"0.463964"	"0.1641791"	"0.4179104"	"0.05970149"	"0.1044776"	"0.1343284"	"0.119403"
33	"0.1940299"	"0.1544695"	"0.2066869"	"0.2252252"	"0.4328358"	"0.1641791"	"0.1940299"	"0.07462687"	"0.01492537"	"0.119403"
